Province,Country,Date,Confirmed,Deaths,Recovered
Anhui,China,22/01/20,1,0,0
Beijing,China,22/01/20,14,0,0
Chongqing,China,22/01/20,6,0,0
Fujian,China,22/01/20,1,0,0
Gansu,China,22/01/20,0,0,0
Guangdong,China,22/01/20,26,0,0
Guangxi,China,22/01/20,2,0,0
Guizhou,China,22/01/20,1,0,0
Hainan,China,22/01/20,4,0,0
Hebei,China,22/01/20,1,0,0
Heilongjiang,China,22/01/20,0,0,0
Henan,China,22/01/20,5,0,0
Hong Kong,Hong Kong,22/01/20,0,0,0
Hubei,China,22/01/20,444,17,28
Hunan,China,22/01/20,4,0,0
Inner Mongolia,China,22/01/20,0,0,0
Jiangsu,China,22/01/20,1,0,0
Jiangxi,China,22/01/20,2,0,0
Jilin,China,22/01/20,0,0,0
Liaoning,China,22/01/20,2,0,0
Macau,Macau,22/01/20,1,0,0
Ningxia,China,22/01/20,1,0,0
Qinghai,China,22/01/20,0,0,0
Shaanxi,China,22/01/20,0,0,0
Shandong,China,22/01/20,2,0,0
Shanghai,China,22/01/20,9,0,0
Shanxi,China,22/01/20,1,0,0
Sichuan,China,22/01/20,5,0,0
Taiwan,Taiwan,22/01/20,1,0,0
Tianjin,China,22/01/20,4,0,0
Tibet,China,22/01/20,0,0,0
Washington,United States,22/01/20,1,0,0
Xinjiang,China,22/01/20,0,0,0
Yunnan,China,22/01/20,1,0,0
Zhejiang,China,22/01/20,10,0,0
,Japan,22/01/20,2,0,0
,Thailand,22/01/20,2,0,0
,South Korea,22/01/20,1,0,0
Anhui,China,23/01/20,9,0,0
Beijing,China,23/01/20,22,0,0
Chongqing,China,23/01/20,9,0,0
Fujian,China,23/01/20,5,0,0
Gansu,China,23/01/20,2,0,0
Guangdong,China,23/01/20,32,0,2
Guangxi,China,23/01/20,5,0,0
Guizhou,China,23/01/20,3,0,0
Hainan,China,23/01/20,5,0,0
Hebei,China,23/01/20,1,1,0
Heilongjiang,China,23/01/20,2,0,0
Henan,China,23/01/20,5,0,0
Hong Kong,Hong Kong,23/01/20,2,0,0
Hubei,China,23/01/20,444,17,28
Hunan,China,23/01/20,9,0,0
Inner Mongolia,China,23/01/20,0,0,0
Jiangsu,China,23/01/20,5,0,0
Jiangxi,China,23/01/20,7,0,0
Jilin,China,23/01/20,1,0,0
Liaoning,China,23/01/20,3,0,0
Macau,Macau,23/01/20,2,0,0
Ningxia,China,23/01/20,1,0,0
Qinghai,China,23/01/20,0,0,0
Shaanxi,China,23/01/20,3,0,0
Shandong,China,23/01/20,6,0,0
Shanghai,China,23/01/20,16,0,0
Shanxi,China,23/01/20,1,0,0
Sichuan,China,23/01/20,8,0,0
Taiwan,Taiwan,23/01/20,1,0,0
Tianjin,China,23/01/20,4,0,0
